"Datum","SAP.DE","SIE.DE","BAYN.DE","BAS.DE","ALV.DE","DAI.DE","DTE.DE","ADS.DE","BMW.DE","VOW3.DE"
"24-05-2018",95.554054,106.696609,93.12043,83.284668,179.138748,61.049923,12.714839,190.757553,83.112465,161.940567
"25-05-2018",96.530914,107.328285,93.833199,83.791389,179.464111,60.909515,12.76736,191.250854,83.064972,164.591202
"28-05-2018",95.356712,105.972054,93.753494,82.825745,177.933014,60.113865,12.695741,192.977386,82.846504,161.708405
"29-05-2018",94.06411,104.875916,92.842415,81.535027,172.535889,59.149719,12.566826,189.770966,81.763672,157.219727
"30-05-2018",94.902824,105.19175,96.468567,82.166046,172.727264,58.850178,12.729163,194.210632,81.877647,158.78688
"31-05-2018",95.060692,103.575417,95.679192,80.550262,168.784698,57.736267,12.624122,191.004211,81.09877,155.691254
"01-06-2018",96.037552,104.968811,97.088043,81.200401,171.923447,58.063885,12.63367,190.560226,81.573692,156.852112
"04-06-2018",96.491447,105.098854,96.486702,81.286446,173.110046,58.185574,12.729163,192.434753,81.877647,156.910156
"05-06-2018",97.685379,105.154587,94.965225,81.601952,171.866028,58.223019,12.791234,193.766647,82.248093,156.968201
"06-06-2018",97.754448,105.043121,94.877419,81.879219,171.023926,58.363426,12.843754,200.672791,82.637535,157.684067
"07-06-2018",98.29715,105.433273,94.438347,81.544586,171.636368,58.382149,12.848529,195.542511,82.286087,157.587326
"08-06-2018",99.106255,105.711952,93.961098,82.108673,170.889954,57.998363,12.733937,196.677109,81.345734,154.201462
"11-06-2018",100.428459,107.458336,92.939781,83.934807,173.1866,57.492889,13.029965,195.739838,81.09877,154.046692
"12-06-2018",100.625809,107.644119,92.06163,83.609734,173.358856,58.325985,13.163654,193.914642,81.022781,154.356247
"13-06-2018",101.454651,110.22654,94.371529,82.825745,172.421051,57.78307,13.006091,192.286758,80.433868,154.569077
"14-06-2018",102.915001,112.121552,96.213722,84.202507,175.177032,59.149719,13.225725,196.085144,81.944138,158.01297
"15-06-2018",102.401901,111.118317,95.526474,83.657539,172.593307,58.335346,13.182754,197.17041,81.44072,155.768646
"18-06-2018",101.138901,109.985016,93.980179,82.462433,170.545456,57.78307,12.991767,191.694809,80.500359,150.970398
"19-06-2018",100.388992,108.052841,92.233444,81.22908,168.976074,57.006138,12.8915,186.860504,79.844955,147.333023
"20-06-2018",101.35598,108.25721,92.491165,81.353371,168.344498,56.584911,12.862853,186.12056,79.484016,149.403229
"21-06-2018",100.073242,106.622299,92.004364,79.737587,166.009567,54.141792,12.781684,187.600449,77.147369,144.759781
"22-06-2018",99.56015,108.034271,94.342888,79.881004,168.153107,53.973301,12.929697,188.389725,76.282997,144.508255
"25-06-2018",97.290688,105.080284,91.889824,77.595955,164.401917,52.484962,12.714839,184.492691,74.896202,140.986969
"26-06-2018",97.280815,104.151352,91.632111,76.926689,164.631577,52.073097,12.605022,184.887329,74.516258,139.806763
"27-06-2018",98.622757,106.083519,91.498482,78.179161,165.741623,52.073097,12.724388,186.564545,74.668243,141.760864
"28-06-2018",95.988213,104.337135,89.98082,77.366493,165.263153,51.698669,12.657543,181.532913,73.670891,138.471756
"29-06-2018",97.63604,105.173172,90.057182,78.313019,169.397125,51.605064,12.671868,184.443359,73.737381,137.581772
"02-07-2018",96.994675,104.578659,90.60125,77.701118,166.870819,52.026295,12.686192,181.088959,73.832367,136.498291
"03-07-2018",97.744576,105.842003,90.333992,77.997513,172.24881,52.484962,12.929697,182.519501,73.803864,137.368942
"04-07-2018",96.511177,106.120674,90.028549,77.423859,171.330139,52.775143,13.120683,179.707718,73.870354,138.046112
"05-07-2018",97.853119,106.547981,89.961731,78.475555,172.325363,54.75959,13.163654,179.411743,76.615448,143.637604
"06-07-2018",98.129402,106.900978,89.484482,78.69545,171.885162,54.329002,13.211401,179.066437,76.178513,142.921753
"09-07-2018",100.033768,107.588379,89.770836,78.810181,173.1866,54.385166,13.22095,179.411743,76.188011,141.238495
"10-07-2018",100.823151,109.056091,90.32444,79.230865,173.971298,54.619179,13.263922,182.519501,75.998039,141.219131
"11-07-2018",99.145729,107.402596,88.195908,77.433418,171.368423,53.523991,13.187528,180.595657,74.915207,138.162201
"12-07-2018",100.52713,108.164322,88.444077,77.873215,171.464111,53.505268,13.240048,182.815491,75.390137,138.239578
"13-07-2018",101.415184,108.350105,89.140862,78.303459,172.153107,53.589516,13.139781,185.232635,75.627594,139.303711
"16-07-2018",101.277039,108.368683,88.93087,78.007065,172.325363,53.430386,13.106359,186.219223,75.31414,138.06546
"17-07-2018",102.421638,108.833145,89.159958,79.431641,176.267944,53.80481,13.092035,183.259445,75.998039,139.381104
"18-07-2018",103.289955,109.947861,88.730423,80.617188,176.765549,54.534935,13.158879,186.712524,76.748428,142.515442
"19-07-2018",99.639091,109.594872,88.148178,80.21563,175.770325,54.89064,13.158879,186.959167,76.700935,143.173264
"20-07-2018",98.662231,108.498734,87.861832,79.154373,173.492828,53.598873,13.125457,187.353806,75.304642,139.9422
"23-07-2018",98.316879,108.591629,88.214996,78.819748,174.736847,54.048187,13.077711,186.909836,75.92205,141.141739
"24-07-2018",99.56015,109.854965,89.064499,80.512016,176.631577,55.386749,12.991767,187.896439,77.441818,145.108032
"25-07-2018",99.658821,109.260452,88.558617,79.45076,174.066971,54.179234,13.010866,186.071243,75.85556,141.161102
"26-07-2018",101.869072,111.824287,90.248085,80.904015,176.842102,55.705009,13.240048,185.331299,79.208557,146.752594
"27-07-2018",101.770401,112.195862,91.88028,78.724129,178.755981,55.499081,13.507428,186.663193,78.752625,146.191498
"30-07-2018",98.869438,111.749977,90.83033,78.456429,179.980865,55.555241,13.540851,186.317886,78.809616,146.520432
"31-07-2018",98.524086,112.177284,90.925781,78.55204,180.995209,55.368031,13.512202,186.613861,78.543655,147.25563
"01-08-2018",98.218208,111.304092,91.441216,78.915352,180.287079,54.516216,13.531301,185.331299,77.413322,141.818924
"02-08-2018",97.774178,106.083519,89.885368,76.725914,177.645935,53.739285,13.392837,182.470169,77.109375,138.723282
"03-08-2018",98.445152,104.16993,90.94487,76.515572,179.330139,54.44133,13.59337,187.057831,78.211205,140.600006
"06-08-2018",98.533958,103.7612,90.744423,76.955376,180,54.525574,13.598145,185.676605,79.32254,140.735443
"07-08-2018",98.070198,104.37429,91.651199,76.869331,180.459335,55.124653,13.626794,187.107147,79.835464,142.089798
"08-08-2018",99.04705,104.039886,91.689377,76.821518,180.784683,55.283787,13.645892,187.995102,80.243904,142.999146
"09-08-2018",98.968117,104.37429,91.374397,77.022301,181.473679,55.265064,13.636342,205.704422,80.55735,143.018478
"10-08-2018",97.340027,102.683647,89.112228,75.272667,177.913879,53.542713,13.321217,202.941956,79.38903,139.671326
"13-08-2018",98.770767,102.497856,79.920387,75.377831,178.622009,53.570793,13.388062,205.605759,79.113571,139.284363
"14-08-2018",99.027321,102.832275,79.94902,75.463882,176.842102,52.840664,13.440582,206.493698,78.315689,138.239578
"15-08-2018",97.9814,101.959084,77.114151,74.09668,176.076553,51.530178,13.287795,203.040619,77.232849,133.925049
"16-08-2018",100.704742,102.256348,73.544319,74.058434,177.875595,51.754833,13.368963,205.901733,77.698288,134.892426
"17-08-2018",100.625809,102.182022,74.832893,74.163605,176.306229,51.408489,13.316442,204.224533,77.327843,134.215271
"20-08-2018",101.237572,102.925171,77.104599,75.396957,177.397125,51.754833,13.349864,206.69101,77.650787,134.466782
"21-08-2018",100.961288,102.79512,78.383636,75.616852,177.550232,52.297749,13.359414,207.677597,78.771622,136.130692
"22-08-2018",101.178368,103.110954,79.634033,75.99929,177.913879,51.764194,13.497879,207.578934,78.163712,134.292664
"23-08-2018",102.165092,103.891243,78.221367,75.836754,177.550232,50.931099,13.531301,209.157486,77.014389,133.441345
"24-08-2018",102.599251,104.281403,78.183189,76.295677,177.511963,51.249359,13.47878,210.834686,77.21386,133.49939
"27-08-2018",103.309685,105.136009,78.889519,77.184837,179.827744,52.522404,13.540851,212.807877,79.018585,136.846558
"28-08-2018",103.053139,105.26606,78.545898,77.012741,179.29187,52.700256,13.421485,212.807877,80.158409,138.703934
"29-08-2018",103.15181,105.656212,78.975426,77.376053,179.75119,53.046597,13.474005,211.722641,80.006439,138.491119
"30-08-2018",102.895264,105.173172,77.839569,77.270882,177.66507,53.027878,13.340316,212.314575,80.35788,138.200897
"31-08-2018",102.244034,104.021301,76.722801,76.190506,175.732056,52.138618,13.28302,212.0186,79.227554,136.246765
"03-09-2018",102.263763,103.482529,76.789612,76.104454,176.440201,51.483376,13.345091,213.103851,78.638641,133.441345
"04-09-2018",101.04023,102.2006,76.19783,74.832863,174.258377,50.734528,13.120683,207.973587,77.774269,131.758087
"05-09-2018",97.902458,100.900101,74.909256,73.857658,173.052628,50.80941,12.838979,204.224533,77.175865,131.700058
"06-09-2018",97.448563,100.82579,71.48259,73.4561,172.765549,50.846855,12.829431,203.336609,76.681938,131.796799
"07-09-2018",99.224663,100.509949,70.146286,73.561272,173.703354,50.996624,12.97267,204.421844,77.00489,131.642014
"10-09-2018",100.625809,100.714317,69.144066,72.997177,174.488037,51.015347,13.029965,204.915146,77.033379,133.015701
